target,feature,corr,n
car_simple_m5_p5_pct,news__nw_lm_neg_prop__post_minus_pre,-0.20132892814018444,400
car_simple_m5_p5_pct,news__nw_lm_neg_prop__all,-0.17217316883465855,400
car_simple_m5_p5_pct,news__nw_lm_constr_prop__all,-0.14318569589134775,400
car_simple_m5_p5_pct,tr__tr_lm_unc_prop__prepared__all,-0.1255325042688218,400
car_simple_m5_p5_pct,news__nw_lm_constr_prop__post,-0.12350892653731871,400
car_simple_m5_p5_pct,news__nw_lm_pos_prop__post_minus_pre,0.11811284957740768,400
car_simple_m5_p5_pct,news__nw_lm_pos_prop__pre,0.0969246886774903,400
car_simple_m5_p5_pct,news__nw_lm_tone__pre,0.09442703876544489,400
car_simple_m5_p5_pct,news__nw_lm_constr_prop__pre,-0.07627893266490346,400
car_simple_m5_p5_pct,tr__tr_lm_pos_prop__qa__all,0.07083309271204129,400
car_simple_m5_p5_pct,tr__tr_lm_constr_prop__prepared__all,-0.06557599118419097,400
car_simple_m5_p5_pct,news__nw_lm_neg_prop__pre,-0.06459530449650717,400
car_simple_m5_p5_pct,news__nw_lm_lit_prop__post,-0.05530836810384289,400
car_simple_m5_p5_pct,tr__tr_lm_neg_prop__prepared__all,-0.05315402480424927,400
car_simple_m5_p5_pct,tr__tr_lm_tone__qa__all,0.052241067431708324,400
car_simple_m5_p5_pct,tr__tr_lm_unc_prop__all__all,-0.05200371766773695,400
car_simple_m5_p5_pct,news__nw_lm_constr_prop__post_minus_pre,-0.0463278637383508,400
car_simple_m5_p5_pct,tr__tr_lm_tone__all__all,0.04618748164539628,400
car_simple_m5_p5_pct,news__nw_lm_unc_prop__post_minus_pre,-0.045079531890804034,400
car_simple_m5_p5_pct,news__nw_lm_unc_prop__post,-0.043229339481181725,400
car_simple_m5_p5_pct,tr__tr_lm_tone__prepared__all,0.04132058919335893,400
car_simple_m5_p5_pct,tr__tr_lm_neg_prop__all__all,-0.0398439636025807,400
car_simple_m5_p5_pct,tr__tr_lm_lit_prop__all__all,0.0371242977170214,400
car_simple_m5_p5_pct,tr__tr_lm_lit_prop__qa__all,0.03573620739753387,400
car_simple_m5_p5_pct,news__nw_lm_lit_prop__all,-0.035497112493286395,400
car_simple_m5_p5_pct,tr__tr_lm_pos_prop__all__all,0.03539583576315372,400
car_simple_m5_p5_pct,news__nw_lm_unc_prop__all,-0.03120410570905209,400
car_simple_m5_p5_pct,news__nw_lm_lit_prop__post_minus_pre,-0.029218222279007604,400
car_simple_m5_p5_pct,news__nw_lm_lit_prop__pre,-0.02322267928612277,400
car_simple_m5_p5_pct,tr__tr_lm_pos_prop__prepared__all,0.017899294448504962,400
car_simple_m5_p5_pct,tr__tr_lm_lit_prop__prepared__all,-0.014786007461965405,400
car_simple_m5_p5_pct,news__nw_lm_unc_prop__pre,0.011924407763624523,400
car_simple_m5_p5_pct,tr__tr_lm_constr_prop__all__all,0.0061550660087607775,400
car_simple_m5_p5_pct,tr__tr_lm_constr_prop__qa__all,0.003830169776845868,400
car_simple_m5_p5_pct,tr__tr_lm_unc_prop__qa__all,0.0035392609709658704,400
car_simple_m5_p5_pct,tr__tr_lm_neg_prop__qa__all,-0.0017957422580136882,400
car_mm_1y_m5_p5_pct,news__nw_lm_tone__post,0.2869721700000721,400
car_mm_1y_m5_p5_pct,news__nw_lm_tone__post_minus_pre,0.24163662518444778,400
car_mm_1y_m5_p5_pct,news__nw_lm_neg_prop__post,-0.23614988976974421,400
car_mm_1y_m5_p5_pct,news__nw_lm_pos_prop__post,0.22873854433874197,400
car_mm_1y_m5_p5_pct,news__nw_lm_pos_prop__all,0.21522212125212256,400
car_mm_1y_m5_p5_pct,news__nw_lm_neg_prop__post_minus_pre,-0.20886542840103536,400
car_mm_1y_m5_p5_pct,news__nw_lm_tone__all,0.20286667096823355,400
car_mm_1y_m5_p5_pct,news__nw_lm_neg_prop__all,-0.14593026012837304,400
car_mm_1y_m5_p5_pct,news__nw_lm_pos_prop__post_minus_pre,0.1331996176983724,400
car_mm_1y_m5_p5_pct,news__nw_lm_constr_prop__all,-0.11588074097612379,400
car_mm_1y_m5_p5_pct,news__nw_lm_constr_prop__post,-0.10120568914564711,400
car_mm_1y_m5_p5_pct,news__nw_lm_pos_prop__pre,0.08544476357735799,400
car_mm_1y_m5_p5_pct,tr__tr_lm_unc_prop__prepared__all,-0.07961299614221243,400
car_mm_1y_m5_p5_pct,tr__tr_lm_pos_prop__qa__all,0.07855912362015396,400
car_mm_1y_m5_p5_pct,news__nw_lm_tone__pre,0.0681119560399686,400
car_mm_1y_m5_p5_pct,news__nw_lm_constr_prop__pre,-0.06525130572157237,400
car_mm_1y_m5_p5_pct,news__nw_lm_unc_prop__post,-0.06409695142075053,400
car_mm_1y_m5_p5_pct,news__nw_lm_unc_prop__post_minus_pre,-0.056467453604292124,400
car_mm_1y_m5_p5_pct,tr__tr_lm_lit_prop__qa__all,0.05550669095829326,400
car_mm_1y_m5_p5_pct,tr__tr_lm_lit_prop__all__all,0.04964771807047197,400
car_mm_1y_m5_p5_pct,tr__tr_lm_unc_prop__all__all,-0.04963054958705475,400
car_mm_1y_m5_p5_pct,tr__tr_lm_tone__qa__all,0.04812377175433181,400
car_mm_1y_m5_p5_pct,tr__tr_lm_constr_prop__prepared__all,-0.04758201047361106,400
car_mm_1y_m5_p5_pct,news__nw_lm_unc_prop__all,-0.0475045441240945,400
car_mm_1y_m5_p5_pct,tr__tr_lm_pos_prop__all__all,0.038762434741790225,400
car_mm_1y_m5_p5_pct,news__nw_lm_neg_prop__pre,-0.03783349410521688,400
car_mm_1y_m5_p5_pct,tr__tr_lm_constr_prop__qa__all,-0.03727978848483795,400
car_mm_1y_m5_p5_pct,tr__tr_lm_tone__all__all,0.037127225437618185,400
car_mm_1y_m5_p5_pct,news__nw_lm_constr_prop__post_minus_pre,-0.035971218856081594,400
car_mm_1y_m5_p5_pct,tr__tr_lm_constr_prop__all__all,-0.03343813919088164,400
car_mm_1y_m5_p5_pct,news__nw_lm_lit_prop__post,-0.03289097085747734,400
car_mm_1y_m5_p5_pct,news__nw_lm_lit_prop__post_minus_pre,-0.02503546537504153,400
car_mm_1y_m5_p5_pct,tr__tr_lm_neg_prop__qa__all,0.01737779440738339,400
car_mm_1y_m5_p5_pct,tr__tr_lm_neg_prop__all__all,-0.016235385209663302,400
car_mm_1y_m5_p5_pct,tr__tr_lm_neg_prop__prepared__all,-0.016147991398222917,400
car_mm_1y_m5_p5_pct,news__nw_lm_lit_prop__all,-0.015111882836187373,400
car_mm_1y_m5_p5_pct,tr__tr_lm_tone__prepared__all,0.009200914262519372,400
car_mm_1y_m5_p5_pct,tr__tr_lm_lit_prop__prepared__all,-0.007589355201896288,400
car_mm_1y_m5_p5_pct,news__nw_lm_lit_prop__pre,-0.0069733264875088945,400
car_mm_1y_m5_p5_pct,news__nw_lm_unc_prop__pre,0.006361649091920156,400
car_mm_1y_m5_p5_pct,tr__tr_lm_pos_prop__prepared__all,0.0015081388525405954,400
car_mm_1y_m5_p5_pct,tr__tr_lm_unc_prop__qa__all,-0.0012941022098012867,400
car_mm_1q_m5_p5_pct,news__nw_lm_tone__post,0.26692627025513144,400
car_mm_1q_m5_p5_pct,news__nw_lm_tone__post_minus_pre,0.24186248559842935,400
car_mm_1q_m5_p5_pct,news__nw_lm_neg_prop__post,-0.22511336077514987,400
car_mm_1q_m5_p5_pct,news__nw_lm_neg_prop__post_minus_pre,-0.21072495659790746,400
car_mm_1q_m5_p5_pct,news__nw_lm_pos_prop__post,0.20447150456099794,400
car_mm_1q_m5_p5_pct,news__nw_lm_pos_prop__all,0.18681774185165717,400
car_mm_1q_m5_p5_pct,news__nw_lm_tone__all,0.18209790214281896,400
car_mm_1q_m5_p5_pct,news__nw_lm_neg_prop__all,-0.13450693434712938,400
car_mm_1q_m5_p5_pct,news__nw_lm_pos_prop__post_minus_pre,0.13121787275961952,400
car_mm_1q_m5_p5_pct,news__nw_lm_constr_prop__all,-0.11130943385086015,400
car_mm_1q_m5_p5_pct,news__nw_lm_constr_prop__post,-0.08421620196563491,400
car_mm_1q_m5_p5_pct,tr__tr_lm_unc_prop__prepared__all,-0.07699296871514474,400
car_mm_1q_m5_p5_pct,news__nw_lm_constr_prop__pre,-0.07154984744352139,400
car_mm_1q_m5_p5_pct,tr__tr_lm_pos_prop__qa__all,0.061905900077730384,400
car_mm_1q_m5_p5_pct,news__nw_lm_pos_prop__pre,0.06175293123904238,400
car_mm_1q_m5_p5_pct,tr__tr_lm_unc_prop__all__all,-0.05592510910381752,400
car_mm_1q_m5_p5_pct,news__nw_lm_unc_prop__post,-0.055358977406512896,400
car_mm_1q_m5_p5_pct,news__nw_lm_unc_prop__post_minus_pre,-0.04947932399462341,400
car_mm_1q_m5_p5_pct,news__nw_lm_tone__pre,0.04822486060737307,400
car_mm_1q_m5_p5_pct,tr__tr_lm_lit_prop__qa__all,0.04809397839736337,400
car_mm_1q_m5_p5_pct,tr__tr_lm_lit_prop__all__all,0.045922196378220204,400
car_mm_1q_m5_p5_pct,news__nw_lm_unc_prop__all,-0.03980850582566558,400
car_mm_1q_m5_p5_pct,tr__tr_lm_constr_prop__prepared__all,-0.03766960295574528,400
car_mm_1q_m5_p5_pct,tr__tr_lm_tone__qa__all,0.035827112967384944,400
car_mm_1q_m5_p5_pct,tr__tr_lm_pos_prop__all__all,0.03427253661682211,400
car_mm_1q_m5_p5_pct,tr__tr_lm_tone__all__all,0.03361881714668041,400
car_mm_1q_m5_p5_pct,news__nw_lm_lit_prop__post,-0.03173433205807581,400
car_mm_1q_m5_p5_pct,tr__tr_lm_constr_prop__qa__all,-0.03161310839476921,400
car_mm_1q_m5_p5_pct,tr__tr_lm_constr_prop__all__all,-0.027977268359612985,400
car_mm_1q_m5_p5_pct,news__nw_lm_neg_prop__pre,-0.026078540118780927,400
car_mm_1q_m5_p5_pct,news__nw_lm_lit_prop__all,-0.02353387592036733,400
car_mm_1q_m5_p5_pct,tr__tr_lm_neg_prop__qa__all,0.017828627550558755,400
car_mm_1q_m5_p5_pct,news__nw_lm_constr_prop__post_minus_pre,-0.01742904871645344,400
