ticker,earnings_date,announce_timing,day0_date,date,offset,open,high,low,close,adj_close,volume
MA,2022-04-28,bmo,2022-04-28,2022-05-05,5,362.1000061035156,367.7699890136719,349.0299987792969,353.3699951171875,345.603271484375,3424800.0
MA,2022-04-28,bmo,2022-04-28,2022-05-06,6,346.25,351.260009765625,340.7799987792969,347.1199951171875,339.4905090332031,3635200.0
MA,2022-04-28,bmo,2022-04-28,2022-05-09,7,341.0,342.3900146484375,324.8900146484375,327.989990234375,320.78106689453125,5777400.0
MA,2022-04-28,bmo,2022-04-28,2022-05-10,8,332.30999755859375,333.67999267578125,323.04998779296875,325.3299865722656,318.179443359375,5003500.0
MA,2022-04-28,bmo,2022-04-28,2022-05-11,9,325.4800109863281,331.0,318.54998779296875,325.8699951171875,318.70758056640625,4263900.0
MA,2022-04-28,bmo,2022-04-28,2022-05-12,10,321.7699890136719,325.5799865722656,312.7699890136719,321.239990234375,314.1793518066406,3891500.0
MA,2022-07-28,bmo,2022-07-28,2022-07-14,-10,316.1600036621094,327.5799865722656,315.3900146484375,325.0299987792969,318.3732604980469,2743900.0
MA,2022-07-28,bmo,2022-07-28,2022-07-15,-9,333.6300048828125,335.57000732421875,329.760009765625,332.57000732421875,325.7588195800781,3387400.0
MA,2022-07-28,bmo,2022-07-28,2022-07-18,-8,335.5,337.510009765625,329.7900085449219,331.010009765625,324.2308349609375,2468500.0
MA,2022-07-28,bmo,2022-07-28,2022-07-19,-7,331.7799987792969,342.010009765625,331.7799987792969,340.3800048828125,333.4089050292969,2689800.0
MA,2022-07-28,bmo,2022-07-28,2022-07-20,-6,340.3800048828125,343.30999755859375,336.2900085449219,341.2699890136719,334.2806701660156,2563600.0
MA,2022-07-28,bmo,2022-07-28,2022-07-21,-5,341.8699951171875,347.2300109863281,340.05999755859375,346.9200134277344,339.8150634765625,2230800.0
MA,2022-07-28,bmo,2022-07-28,2022-07-22,-4,348.8800048828125,351.0899963378906,340.3999938964844,343.8800048828125,336.8372497558594,2253000.0
MA,2022-07-28,bmo,2022-07-28,2022-07-25,-3,344.45001220703125,345.5400085449219,340.1099853515625,344.2099914550781,337.1605224609375,2180100.0
MA,2022-07-28,bmo,2022-07-28,2022-07-26,-2,342.6499938964844,344.6300048828125,339.29998779296875,341.2799987792969,334.29052734375,2254200.0
MA,2022-07-28,bmo,2022-07-28,2022-07-27,-1,343.010009765625,348.9200134277344,331.239990234375,343.2699890136719,336.23974609375,4580300.0
MA,2022-07-28,bmo,2022-07-28,2022-07-28,0,348.0,353.260009765625,340.6199951171875,352.45001220703125,345.2317810058594,3635500.0
MA,2022-07-28,bmo,2022-07-28,2022-07-29,1,354.1300048828125,356.79998779296875,349.9599914550781,353.7900085449219,346.5443420410156,3176800.0
MA,2022-07-28,bmo,2022-07-28,2022-08-01,2,347.80999755859375,354.8399963378906,345.6600036621094,350.5400085449219,343.36090087890625,2289400.0
MA,2022-07-28,bmo,2022-07-28,2022-08-02,3,347.0799865722656,351.1499938964844,343.9800109863281,349.010009765625,341.8622131347656,2878800.0
MA,2022-07-28,bmo,2022-07-28,2022-08-03,4,350.0,356.4800109863281,348.5400085449219,354.1300048828125,346.8773193359375,2921200.0
MA,2022-07-28,bmo,2022-07-28,2022-08-04,5,354.6700134277344,358.6099853515625,349.6499938964844,356.07000732421875,348.7776794433594,2339500.0
MA,2022-07-28,bmo,2022-07-28,2022-08-05,6,350.3999938964844,357.8299865722656,350.3999938964844,357.510009765625,350.1881103515625,1848700.0
MA,2022-07-28,bmo,2022-07-28,2022-08-08,7,359.0,359.0,349.8900146484375,352.1600036621094,344.94769287109375,2477600.0
MA,2022-07-28,bmo,2022-07-28,2022-08-09,8,350.3999938964844,351.1199951171875,345.3500061035156,346.5400085449219,339.4427795410156,2467400.0
MA,2022-07-28,bmo,2022-07-28,2022-08-10,9,354.3399963378906,354.54998779296875,351.04998779296875,353.3800048828125,346.14263916015625,2443700.0
MA,2022-07-28,bmo,2022-07-28,2022-08-11,10,355.8500061035156,355.8500061035156,350.3500061035156,350.5799865722656,343.4000549316406,2609400.0
MA,2022-10-27,bmo,2022-10-27,2022-10-13,-10,277.2799987792969,295.42999267578125,276.8699951171875,293.9599914550781,288.4041748046875,3322800.0
MA,2022-10-27,bmo,2022-10-27,2022-10-14,-9,295.8599853515625,298.6199951171875,287.8399963378906,288.69000244140625,283.2337951660156,3106300.0
MA,2022-10-27,bmo,2022-10-27,2022-10-17,-8,295.4200134277344,298.7300109863281,291.3399963378906,295.0400085449219,289.46380615234375,3417600.0
MA,2022-10-27,bmo,2022-10-27,2022-10-18,-7,303.1700134277344,303.70001220703125,296.54998779296875,300.3800048828125,294.7027893066406,3096000.0
MA,2022-10-27,bmo,2022-10-27,2022-10-19,-6,295.4599914550781,299.6400146484375,294.7900085449219,297.760009765625,292.13238525390625,1914300.0
MA,2022-10-27,bmo,2022-10-27,2022-10-20,-5,297.75,302.7300109863281,295.6099853515625,296.2799987792969,290.6802978515625,2463800.0
MA,2022-10-27,bmo,2022-10-27,2022-10-21,-4,294.510009765625,302.7099914550781,293.5,302.3699951171875,296.65521240234375,3599600.0
MA,2022-10-27,bmo,2022-10-27,2022-10-24,-3,304.5199890136719,307.0,300.5,305.6000061035156,299.82415771484375,3184100.0
MA,2022-10-27,bmo,2022-10-27,2022-10-25,-2,305.9100036621094,312.1000061035156,305.8599853515625,311.4100036621094,305.52435302734375,3012400.0
MA,2022-10-27,bmo,2022-10-27,2022-10-26,-1,312.2900085449219,324.45001220703125,312.2900085449219,319.510009765625,313.4712829589844,5278000.0
MA,2022-10-27,bmo,2022-10-27,2022-10-27,0,316.17999267578125,323.0799865722656,314.05999755859375,319.3699951171875,313.33392333984375,4725800.0
MA,2022-10-27,bmo,2022-10-27,2022-10-28,1,319.30999755859375,331.79998779296875,317.82000732421875,329.4700012207031,323.24310302734375,3644400.0
