2026-02-07T22:57:40.400477-05:00 | ORCL 2024-09-09: missing pre-window coverage; earliest=2024-08-27 start=2024-08-26
2026-02-07T22:57:41.330446-05:00 | ORCL 2024-12-09: missing pre-window coverage; earliest=2024-11-26 start=2024-11-25
2026-02-07T22:57:41.333398-05:00 | ORCL 2024-12-09: coverage incomplete; retrying per-day mode
2026-02-07T22:57:49.833411-05:00 | ORCL 2024-12-09: missing pre-window coverage; earliest=2024-11-26 start=2024-11-25
2026-02-07T22:58:11.271297-05:00 | MA 2022-04-28: missing pre-window coverage; earliest=2022-04-18 start=2022-04-14
2026-02-07T22:58:11.273628-05:00 | MA 2022-04-28: coverage incomplete; retrying per-day mode
2026-02-07T22:58:17.271644-05:00 | MA 2022-04-28: missing pre-window coverage; earliest=2022-04-18 start=2022-04-14
2026-02-07T22:58:18.441824-05:00 | MA 2022-10-27: missing pre-window coverage; earliest=2022-10-14 start=2022-10-13
2026-02-07T22:58:18.442816-05:00 | MA 2022-10-27: coverage incomplete; retrying per-day mode
2026-02-07T22:58:24.976568-05:00 | MA 2022-10-27: missing pre-window coverage; earliest=2022-10-14 start=2022-10-13
2026-02-07T22:58:27.834819-05:00 | MA 2024-01-31: missing pre-window coverage; earliest=2024-01-18 start=2024-01-17
2026-02-07T22:58:27.837505-05:00 | MA 2024-01-31: coverage incomplete; retrying per-day mode
2026-02-07T22:58:35.165434-05:00 | MA 2024-01-31: missing pre-window coverage; earliest=2024-01-18 start=2024-01-17
2026-02-07T22:58:37.352970-05:00 | MA 2024-10-31: missing pre-window coverage; earliest=2024-10-20 start=2024-10-17
2026-02-07T22:58:37.354477-05:00 | MA 2024-10-31: coverage incomplete; retrying per-day mode
2026-02-07T22:58:43.682751-05:00 | MA 2024-10-31: missing pre-window coverage; earliest=2024-10-20 start=2024-10-17
2026-02-07T22:58:44.788542-05:00 | MA 2025-05-01: missing pre-window coverage; earliest=2025-04-18 start=2025-04-17
2026-02-07T22:58:44.789215-05:00 | MA 2025-05-01: coverage incomplete; retrying per-day mode
2026-02-07T22:58:52.344472-05:00 | MA 2025-05-01: missing pre-window coverage; earliest=2025-04-18 start=2025-04-17
2026-02-07T22:58:52.905691-05:00 | MA 2025-07-31: missing post-window coverage; latest=2025-08-12 end=2025-08-14
2026-02-07T22:58:52.907177-05:00 | MA 2025-07-31: coverage incomplete; retrying per-day mode
2026-02-07T22:58:58.945840-05:00 | MA 2025-07-31: missing post-window coverage; latest=2025-08-12 end=2025-08-14
2026-02-07T22:59:12.526164-05:00 | MU 2021-06-30: missing pre-window coverage; earliest=2021-06-17 start=2021-06-16
2026-02-07T22:59:12.527011-05:00 | MU 2021-06-30: missing post-window coverage; latest=2021-07-12 end=2021-07-14
2026-02-07T22:59:12.529266-05:00 | MU 2021-06-30: coverage incomplete; retrying per-day mode
2026-02-07T22:59:19.856664-05:00 | MU 2021-06-30: missing pre-window coverage; earliest=2021-06-17 start=2021-06-16
2026-02-07T22:59:19.857375-05:00 | MU 2021-06-30: missing post-window coverage; latest=2021-07-12 end=2021-07-14
