y_type,window,feature,corr,abs_corr
ret_pct,m1_p1,sur_surprise_eps,-0.001,0.001
ret_pct,m1_p1,sur_surprise_eps_pct,-0.032,0.032
ret_pct,m1_p1,gro_fiscalYear,0.01,0.01
ret_pct,m1_p1,gro_growthRevenue,0.018,0.018
ret_pct,m1_p1,gro_growthCostOfRevenue,-0.031,0.031
ret_pct,m1_p1,gro_growthGrossProfit,0.088,0.088
ret_pct,m1_p1,gro_growthGrossProfitRatio,0.086,0.086
ret_pct,m1_p1,gro_growthResearchAndDevelopmentExpenses,0.001,0.001
ret_pct,m1_p1,gro_growthGeneralAndAdministrativeExpenses,-0.032,0.032
ret_pct,m1_p1,gro_growthSellingAndMarketingExpenses,0.023,0.023
ret_pct,m1_p1,gro_growthOtherExpenses,-0.022,0.022
ret_pct,m1_p1,gro_growthOperatingExpenses,-0.012,0.012
ret_pct,m1_p1,gro_growthCostAndExpenses,-0.005,0.005
ret_pct,m1_p1,gro_growthInterestIncome,-0.06,0.06
ret_pct,m1_p1,gro_growthInterestExpense,-0.139,0.139
ret_pct,m1_p1,gro_growthDepreciationAndAmortization,-0.054,0.054
ret_pct,m1_p1,gro_growthEBITDA,0.01,0.01
ret_pct,m1_p1,gro_growthOperatingIncome,-0.033,0.033
ret_pct,m1_p1,gro_growthIncomeBeforeTax,0.007,0.007
ret_pct,m1_p1,gro_growthIncomeTaxExpense,0.047,0.047
ret_pct,m1_p1,gro_growthNetIncome,0.052,0.052
ret_pct,m1_p1,gro_growthEPS,0.04,0.04
ret_pct,m1_p1,gro_growthEPSDiluted,0.04,0.04
ret_pct,m1_p1,gro_growthWeightedAverageShsOut,0.017,0.017
ret_pct,m1_p1,gro_growthWeightedAverageShsOutDil,-0.016,0.016
ret_pct,m1_p1,gro_growthEBIT,-0.035,0.035
ret_pct,m1_p1,gro_growthNonOperatingIncomeExcludingInterest,-0.075,0.075
ret_pct,m1_p1,gro_growthNetInterestIncome,0.017,0.017
ret_pct,m1_p1,gro_growthTotalOtherIncomeExpensesNet,0.008,0.008
ret_pct,m1_p1,gro_growthNetIncomeFromContinuingOperations,0.041,0.041
