ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
MU,2023-06-28,2023-06-29,all,1975.0,3323.0,56.0,73.0,30.0,2.0,8.0,23.0,24.0,7.0,0.028354430379746835,0.0369620253164557,0.015189873417721518,0.0010126582278481013,0.004050632911392405,-0.008607594936708861
MU,2023-09-27,2023-09-28,all,1387.0,2332.0,45.0,43.0,25.0,0.0,3.0,13.0,16.0,3.0,0.032444124008651765,0.031002162941600575,0.01802451333813987,0.0,0.0021629416005767843,0.0014419610670511895
MU,2023-12-20,2023-12-21,all,1181.0,1955.0,47.0,22.0,18.0,2.0,1.0,4.0,15.0,2.0,0.03979678238780694,0.018628281117696866,0.015241320914479255,0.001693480101608806,0.000846740050804403,0.021168501270110076
MU,2024-03-20,2024-03-21,all,2460.0,4127.0,97.0,17.0,28.0,0.0,4.0,19.0,19.0,1.0,0.03943089430894309,0.006910569105691057,0.011382113821138212,0.0,0.0016260162601626016,0.032520325203252036
MU,2024-06-26,2024-06-27,all,3294.0,5547.0,149.0,66.0,39.0,0.0,9.0,12.0,22.0,9.0,0.04523375834851245,0.020036429872495445,0.011839708561020037,0.0,0.00273224043715847,0.025197328476017
MU,2024-09-25,2024-09-26,all,4038.0,6752.0,174.0,101.0,63.0,1.0,6.0,16.0,32.0,15.0,0.04309063893016345,0.02501238236750867,0.015601783060921248,0.00024764735017335313,0.0014858841010401188,0.01807825656265478
MU,2024-12-18,2024-12-19,all,3727.0,6442.0,133.0,203.0,54.0,33.0,5.0,23.0,25.0,8.0,0.03568553796619265,0.05446740005366246,0.014488865038905285,0.008854306412664341,0.0013415615776764154,-0.018781862087469816
MU,2025-03-20,2025-03-21,all,4211.0,7042.0,124.0,168.0,51.0,163.0,3.0,18.0,21.0,74.0,0.029446687247684636,0.03989551175492757,0.012111137497031584,0.03870814533364996,0.0007124198527665638,-0.010448824507242936
MU,2025-06-25,2025-06-26,all,3947.0,6648.0,153.0,44.0,75.0,7.0,1.0,23.0,32.0,2.0,0.03876361793767418,0.011147707119331137,0.019001773498859894,0.00177349885989359,0.0002533569799847986,0.027615910818343047
MU,2025-09-23,2025-09-24,all,4203.0,6849.0,193.0,50.0,52.0,3.0,5.0,22.0,28.0,5.0,0.045919581251487034,0.011896264572924102,0.012372115155841065,0.0007137758743754461,0.0011896264572924102,0.03402331667856293
MU,2025-12-17,2025-12-18,all,8218.0,13639.0,239.0,121.0,113.0,8.0,5.0,28.0,42.0,9.0,0.02908250182526162,0.014723777074714043,0.01375030421027014,0.0009734728644439036,0.0006084205402774398,0.014358724750547579
