ticker,event_date,phase,publisher,n_units
AAPL,2021-10-28,pre,cnbc.com,9
AAPL,2021-10-28,pre,cnet.com,1
AAPL,2021-10-28,pre,cnn.com,3
AAPL,2021-10-28,pre,fool.com,19
AAPL,2021-10-28,pre,forbes.com,1
AAPL,2021-10-28,pre,foxbusiness.com,1
AAPL,2021-10-28,pre,gurufocus.com,2
AAPL,2021-10-28,pre,investopedia.com,2
AAPL,2021-10-28,pre,investorplace.com,7
AAPL,2021-10-28,pre,invezz.com,2
AAPL,2021-10-28,pre,marketwatch.com,20
AAPL,2021-10-28,pre,nypost.com,3
AAPL,2021-10-28,pre,nytimes.com,1
AAPL,2021-10-28,pre,proactiveinvestors.co.uk,6
AAPL,2021-10-28,pre,pymnts.com,2
AAPL,2021-10-28,pre,reuters.com,16
AAPL,2021-10-28,pre,schaeffersresearch.com,2
AAPL,2021-10-28,pre,seeitmarket.com,1
AAPL,2021-10-28,pre,seekingalpha.com,13
AAPL,2021-10-28,pre,techcrunch.com,4
AAPL,2021-10-28,pre,techxplore.com,5
AAPL,2021-10-28,pre,theguardian.com,2
AAPL,2021-10-28,pre,zacks.com,14
AAPL,2022-01-27,post,247wallst.com,1
AAPL,2022-01-27,post,barrons.com,1
AAPL,2022-01-27,post,benzinga.com,14
AAPL,2022-01-27,post,businesswire.com,3
AAPL,2022-01-27,post,cnbc.com,13
AAPL,2022-01-27,post,cnet.com,2
AAPL,2022-01-27,post,cnn.com,4
AAPL,2022-01-27,post,etftrends.com,1
AAPL,2022-01-27,post,fool.com,14
AAPL,2022-01-27,post,forbes.com,4
AAPL,2022-01-27,post,foxbusiness.com,6
AAPL,2022-01-27,post,gurufocus.com,3
AAPL,2022-01-27,post,investopedia.com,2
AAPL,2022-01-27,post,investorplace.com,11
AAPL,2022-01-27,post,invezz.com,4
AAPL,2022-01-27,post,kiplinger.com,1
AAPL,2022-01-27,post,marketbeat.com,1
AAPL,2022-01-27,post,markets.businessinsider.com,2
AAPL,2022-01-27,post,marketwatch.com,8
AAPL,2022-01-27,post,nypost.com,3
AAPL,2022-01-27,post,nytimes.com,1
AAPL,2022-01-27,post,proactiveinvestors.co.uk,2
AAPL,2022-01-27,post,proactiveinvestors.com,1
