ticker,earnings_date,date,offset,ret,ret_pct
NVDA,2022-02-16,2022-03-01,7,-0.037235997208473814,-3.7235997208473814
NVDA,2022-02-16,2022-03-02,8,0.031823752583657106,3.1823752583657106
NVDA,2022-02-16,2022-03-03,9,-0.020891830332038897,-2.0891830332038897
NVDA,2022-02-16,2022-03-04,10,-0.03280755959088688,-3.280755959088688
NVDA,2022-05-25,2022-05-12,-10,,
NVDA,2022-05-25,2022-05-13,-9,0.09465205740304206,9.465205740304206
NVDA,2022-05-25,2022-05-16,-8,-0.024963220348878212,-2.4963220348878212
NVDA,2022-05-25,2022-05-17,-7,0.05288463187966097,5.288463187966097
NVDA,2022-05-25,2022-05-18,-6,-0.06816302606762958,-6.816302606762958
NVDA,2022-05-25,2022-05-19,-5,0.010981043869238594,1.0981043869238594
NVDA,2022-05-25,2022-05-20,-4,-0.025110591018263073,-2.5110591018263073
NVDA,2022-05-25,2022-05-23,-3,0.012219939219634268,1.2219939219634268
NVDA,2022-05-25,2022-05-24,-2,-0.04402904724870471,-4.402904724870471
NVDA,2022-05-25,2022-05-25,-1,0.05082339237231581,5.082339237231581
NVDA,2022-05-25,2022-05-26,0,0.05160536311178987,5.160536311178987
NVDA,2022-05-25,2022-05-27,1,0.05377849739948237,5.377849739948237
NVDA,2022-05-25,2022-05-31,2,-0.00738923911771594,-0.738923911771594
NVDA,2022-05-25,2022-06-01,3,-0.018851758219324166,-1.8851758219324166
NVDA,2022-05-25,2022-06-02,4,0.06943226344623143,6.9432263446231435
NVDA,2022-05-25,2022-06-03,5,-0.04450805701217864,-4.450805701217863
NVDA,2022-05-25,2022-06-06,6,0.003525539775235398,0.3525539775235398
NVDA,2022-05-25,2022-06-07,7,0.007452369866026043,0.7452369866026043
NVDA,2022-05-25,2022-06-08,8,-0.014480407568688625,-1.4480407568688625
NVDA,2022-05-25,2022-06-09,9,-0.032174776930274596,-3.2174776930274596
NVDA,2022-05-25,2022-06-10,10,-0.05950814931606374,-5.950814931606374
NVDA,2022-08-24,2022-08-11,-10,,
NVDA,2022-08-24,2022-08-12,-9,0.04274877757281992,4.274877757281992
NVDA,2022-08-24,2022-08-15,-8,0.017264298737992068,1.7264298737992068
NVDA,2022-08-24,2022-08-16,-7,-0.008038937001393243,-0.8038937001393243
NVDA,2022-08-24,2022-08-17,-6,-0.02881518860793697,-2.881518860793697
NVDA,2022-08-24,2022-08-18,-5,0.023888665634010042,2.3888665634010042
NVDA,2022-08-24,2022-08-19,-4,-0.049219613358053915,-4.921961335805392
NVDA,2022-08-24,2022-08-22,-3,-0.04566077557743409,-4.566077557743409
NVDA,2022-08-24,2022-08-23,-2,0.008629832545294258,0.8629832545294258
NVDA,2022-08-24,2022-08-24,-1,0.0023863079162222967,0.23863079162222967
NVDA,2022-08-24,2022-08-25,0,0.04012313771564524,4.012313771564524
NVDA,2022-08-24,2022-08-26,1,-0.0922793693031444,-9.22793693031444
NVDA,2022-08-24,2022-08-29,2,-0.028228647894836367,-2.8228647894836367
NVDA,2022-08-24,2022-08-30,3,-0.02107468533352186,-2.107468533352186
NVDA,2022-08-24,2022-08-31,4,-0.02417909179571598,-2.417909179571598
NVDA,2022-08-24,2022-09-01,5,-0.07665296621063922,-7.665296621063922
NVDA,2022-08-24,2022-09-02,6,-0.020807921532516982,-2.080792153251698
NVDA,2022-08-24,2022-09-06,7,-0.013336153474074908,-1.3336153474074908
NVDA,2022-08-24,2022-09-07,8,0.01879492039531372,1.879492039531372
NVDA,2022-08-24,2022-09-08,9,0.02012544809730299,2.012544809730299
NVDA,2022-08-24,2022-09-09,10,0.028377550199270907,2.8377550199270907
NVDA,2022-11-16,2022-11-03,-10,,
NVDA,2022-11-16,2022-11-04,-9,0.05476508879090747,5.476508879090747
NVDA,2022-11-16,2022-11-07,-8,0.01024296381397738,1.024296381397738
NVDA,2022-11-16,2022-11-08,-7,0.021047472039863013,2.1047472039863013
NVDA,2022-11-16,2022-11-09,-6,-0.05656763699229206,-5.656763699229206
NVDA,2022-11-16,2022-11-10,-5,0.1432927433654818,14.329274336548181
NVDA,2022-11-16,2022-11-11,-4,0.03663505844460424,3.663505844460424
NVDA,2022-11-16,2022-11-14,-3,-0.001960159563866304,-0.19601595638663039
NVDA,2022-11-16,2022-11-15,-2,0.022767881942857393,2.2767881942857393
NVDA,2022-11-16,2022-11-16,-1,-0.04536197288036614,-4.536197288036615
NVDA,2022-11-16,2022-11-17,0,-0.014644791046301564,-1.4644791046301564
NVDA,2022-11-16,2022-11-18,1,-0.01709513532405249,-1.709513532405249
NVDA,2022-11-16,2022-11-21,2,-0.005970544742493145,-0.5970544742493145
NVDA,2022-11-16,2022-11-22,3,0.047071814607596574,4.707181460759657
NVDA,2022-11-16,2022-11-23,4,0.029991165725348212,2.9991165725348212
NVDA,2022-11-16,2022-11-25,5,-0.015073345882315903,-1.5073345882315903
NVDA,2022-11-16,2022-11-28,6,-0.027228146961496114,-2.7228146961496114
NVDA,2022-11-16,2022-11-29,7,-0.011878389673491974,-1.1878389673491974
NVDA,2022-11-16,2022-11-30,8,0.08237920294735201,8.2379202947352
NVDA,2022-11-16,2022-12-01,9,0.012527454823361817,1.2527454823361817
NVDA,2022-11-16,2022-12-02,10,-0.015115283634834942,-1.5115283634834942
NVDA,2023-02-22,2023-02-08,-10,,
NVDA,2023-02-22,2023-02-09,-9,0.005944710529191877,0.5944710529191877
NVDA,2023-02-22,2023-02-10,-8,-0.04799232159779698,-4.799232159779699
NVDA,2023-02-22,2023-02-13,-7,0.024594642835338076,2.4594642835338076
NVDA,2023-02-22,2023-02-14,-6,0.05429599265249374,5.429599265249374
NVDA,2023-02-22,2023-02-15,-5,-0.009011438093198931,-0.9011438093198931
NVDA,2023-02-22,2023-02-16,-4,-0.033473829812002975,-3.3473829812002975
NVDA,2023-02-22,2023-02-17,-3,-0.027906648204085394,-2.7906648204085394
NVDA,2023-02-22,2023-02-21,-2,-0.034271308005163315,-3.4271308005163315
NVDA,2023-02-22,2023-02-22,-1,0.004792879056039867,0.4792879056039867
NVDA,2023-02-22,2023-02-23,0,0.14021399070044027,14.021399070044026
NVDA,2023-02-22,2023-02-24,1,-0.015973736409628736,-1.5973736409628736
NVDA,2023-02-22,2023-02-27,2,0.009232999908743489,0.9232999908743489
NVDA,2023-02-22,2023-02-28,3,-0.012127253539492067,-1.2127253539492067
NVDA,2023-02-22,2023-03-01,4,-0.022312070959668695,-2.2312070959668695
NVDA,2023-02-22,2023-03-02,5,0.02713883497072933,2.713883497072933
NVDA,2023-02-22,2023-03-03,6,0.024706279775858375,2.4706279775858375
NVDA,2023-02-22,2023-03-06,7,-0.014064334883703289,-1.4064334883703289
NVDA,2023-02-22,2023-03-07,8,-0.011125394563600066,-1.1125394563600066
NVDA,2023-02-22,2023-03-08,9,0.03834581473964449,3.834581473964449
NVDA,2023-02-22,2023-03-09,10,-0.030809221143704213,-3.0809221143704213
NVDA,2023-05-24,2023-05-11,-10,,
NVDA,2023-05-24,2023-05-12,-9,-0.008327889907852382,-0.8327889907852382
NVDA,2023-05-24,2023-05-15,-8,0.021630023201559156,2.1630023201559156
NVDA,2023-05-24,2023-05-16,-7,0.008980158638063118,0.8980158638063118
NVDA,2023-05-24,2023-05-17,-6,0.03303312153379667,3.303312153379667
NVDA,2023-05-24,2023-05-18,-5,0.04970515515291685,4.970515515291685
NVDA,2023-05-24,2023-05-19,-4,-0.013069008038336327,-1.3069008038336327
NVDA,2023-05-24,2023-05-22,-3,-0.002814737184547167,-0.2814737184547167
NVDA,2023-05-24,2023-05-23,-2,-0.015653123151401438,-1.5653123151401438
NVDA,2023-05-24,2023-05-24,-1,-0.00488778667911427,-0.488778667911427
NVDA,2023-05-24,2023-05-25,0,0.24369629287537253,24.369629287537254
NVDA,2023-05-24,2023-05-26,1,0.025434458377952884,2.5434458377952884
NVDA,2023-05-24,2023-05-30,2,0.029913100523067504,2.9913100523067504
NVDA,2023-05-24,2023-05-31,3,-0.056767361896036816,-5.676736189603682
NVDA,2023-05-24,2023-06-01,4,0.051170870619956954,5.117087061995695
NVDA,2023-05-24,2023-06-02,5,-0.01113911179517646,-1.113911179517646
NVDA,2023-05-24,2023-06-05,6,-0.003966594746511842,-0.39665947465118423
NVDA,2023-05-24,2023-06-06,7,-0.013198548604101634,-1.3198548604101634
NVDA,2023-05-24,2023-06-07,8,-0.030401303768087362,-3.040130376808736
NVDA,2023-05-24,2023-06-08,9,0.02761874609211934,2.761874609211934
NVDA,2023-05-24,2023-06-09,10,0.006751404440222819,0.6751404440222819
NVDA,2023-08-23,2023-08-10,-10,,
NVDA,2023-08-23,2023-08-11,-9,-0.03616602132517843,-3.6166021325178432
NVDA,2023-08-23,2023-08-14,-8,0.07093388908687692,7.093388908687692
NVDA,2023-08-23,2023-08-15,-7,0.00427396737248853,0.42739673724885296
NVDA,2023-08-23,2023-08-16,-6,-0.01033219744552516,-1.033219744552516
NVDA,2023-08-23,2023-08-17,-5,-0.0032653847359218613,-0.32653847359218613
NVDA,2023-08-23,2023-08-18,-4,-0.0010383905035269425,-0.10383905035269425
NVDA,2023-08-23,2023-08-21,-3,0.08471344486842192,8.471344486842192
NVDA,2023-08-23,2023-08-22,-2,-0.02765775673856985,-2.765775673856985
NVDA,2023-08-23,2023-08-23,-1,0.0317071403069944,3.1707140306994397
NVDA,2023-08-23,2023-08-24,0,0.0009973912264249485,0.09973912264249485
NVDA,2023-08-23,2023-08-25,1,-0.0242772921430785,-2.42772921430785
NVDA,2023-08-23,2023-08-28,2,0.017753841819710958,1.7753841819710958
NVDA,2023-08-23,2023-08-29,3,0.04161407640275505,4.161407640275505
