ticker,earnings_date,day0_date,section,speaker_type,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
HD,2024-11-12,2024-11-12,qa,all,4646.0,9774.0,132.0,60.0,62.0,6.0,2.0,40.0,34.0,4.0,0.0284115368058545,0.012914334911752045,0.01334481274214378,0.0012914334911752045,0.00043047783039173483,0.015497201894102454
HD,2025-02-25,2025-02-25,all,all,8224.0,16258.0,318.0,100.0,162.0,4.0,4.0,64.0,40.0,14.0,0.03866731517509728,0.012159533073929961,0.019698443579766536,0.00048638132295719845,0.00048638132295719845,0.026507782101167315
HD,2025-02-25,2025-02-25,prepared,all,3930.0,7028.0,176.0,44.0,100.0,2.0,4.0,44.0,10.0,4.0,0.044783715012722644,0.011195928753180661,0.02544529262086514,0.0005089058524173028,0.0010178117048346056,0.03358778625954199
HD,2025-02-25,2025-02-25,qa,all,4294.0,9230.0,142.0,56.0,62.0,2.0,0.0,20.0,30.0,10.0,0.03306939916162087,0.01304145319049837,0.014438751746623195,0.0004657661853749418,0.0,0.020027945971122497
HD,2025-05-20,2025-05-20,all,all,7750.0,15636.0,306.0,132.0,150.0,8.0,12.0,98.0,48.0,16.0,0.03948387096774193,0.01703225806451613,0.01935483870967742,0.001032258064516129,0.0015483870967741935,0.022451612903225806
HD,2025-05-20,2025-05-20,qa,all,7750.0,15636.0,306.0,132.0,150.0,8.0,12.0,98.0,48.0,16.0,0.03948387096774193,0.01703225806451613,0.01935483870967742,0.001032258064516129,0.0015483870967741935,0.022451612903225806
HD,2025-08-19,2025-08-19,all,all,8208.0,16662.0,390.0,68.0,158.0,4.0,14.0,92.0,54.0,20.0,0.04751461988304093,0.008284600389863547,0.0192495126705653,0.0004873294346978557,0.001705653021442495,0.039230019493177386
HD,2025-08-19,2025-08-19,prepared,all,3232.0,5896.0,202.0,28.0,80.0,4.0,8.0,36.0,14.0,10.0,0.0625,0.008663366336633664,0.024752475247524754,0.0012376237623762376,0.0024752475247524753,0.053836633663366336
HD,2025-08-19,2025-08-19,qa,all,4976.0,10766.0,188.0,40.0,78.0,0.0,6.0,56.0,40.0,10.0,0.03778135048231511,0.008038585209003215,0.01567524115755627,0.0,0.0012057877813504824,0.0297427652733119
HD,2025-11-18,2025-11-18,all,all,7496.0,15568.0,258.0,102.0,132.0,6.0,4.0,64.0,28.0,16.0,0.03441835645677695,0.013607257203842048,0.017609391675560297,0.0008004268943436499,0.0005336179295624333,0.0208110992529349
HD,2025-11-18,2025-11-18,prepared,all,2698.0,4908.0,150.0,28.0,70.0,4.0,2.0,36.0,4.0,8.0,0.05559673832468495,0.010378057820607857,0.025945144551519646,0.0014825796886582653,0.0007412898443291327,0.0452186805040771
HD,2025-11-18,2025-11-18,qa,all,4798.0,10660.0,108.0,74.0,62.0,2.0,2.0,28.0,24.0,8.0,0.022509378907878283,0.015423092955398083,0.012922050854522717,0.00041684035014589413,0.00041684035014589413,0.0070862859524802
